crypto;date;courscloture;;;;
flow;16/02/2023;1,1048;;;;
flow;15/02/2023;1,152;;;;
flow;14/02/2023;1,0339;;;;
flow;13/02/2023;1,0181;;;;
flow;12/02/2023;1,033;;;;
flow;11/02/2023;1,047;;;;
flow;10/02/2023;1,0227;;;;
flow;09/02/2023;1,028;;;;
flow;08/02/2023;1,1436;;;;
flow;07/02/2023;1,1569;;;;
flow;06/02/2023;1,0829;;;;
flow;05/02/2023;1,094;;;;
flow;04/02/2023;1,159;;;;
flow;03/02/2023;1,185;;;;
flow;02/02/2023;1,1062;;;;
flow;01/02/2023;1,1243;;;;
flow;31/01/2023;1,0622;;;;
flow;30/01/2023;0,9842;;;;
flow;29/01/2023;1,1118;;;;
flow;28/01/2023;1,0579;;;;
flow;27/01/2023;1,0869;;;;
flow;26/01/2023;1,1119;;;;
flow;25/01/2023;1,1271;;;;
flow;24/01/2023;1,077;;;;
flow;23/01/2023;1,1853;;;;
flow;22/01/2023;1,1688;;;;
flow;21/01/2023;1,055;;;;
flow;20/01/2023;1,1016;;;;
flow;19/01/2023;1,04;;;;
flow;18/01/2023;0,9828;;;;
flow;17/01/2023;1,0517;;;;
flow;16/01/2023;1,076;;;;
flow;15/01/2023;1,089;;;;
flow;14/01/2023;1,0288;;;;
flow;13/01/2023;0,9313;;;;
flow;12/01/2023;0,8748;;;;
flow;11/01/2023;0,8171;;;;
flow;10/01/2023;0,802;;;;
flow;09/01/2023;0,7842;;;;
flow;08/01/2023;0,7276;;;;
flow;07/01/2023;0,6991;;;;
flow;06/01/2023;0,7009;;;;
flow;05/01/2023;0,7061;;;;
flow;04/01/2023;0,7269;;;;
flow;03/01/2023;0,7229;;;;
flow;02/01/2023;0,6657;;;;
flow;01/01/2023;0,6583;;;;
